DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
Rheumatoid arthritis	rs34480360	36333501	cg08405844_BC11	20
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rs34480360	36333501	cg08405844_BC11	20
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rs34480360	36333501	cg08405844_BC11	20
Rheumatoid arthritis	rs34480360	36333501	cg08405844_BC11	20
Heel bone mineral density	rs2303696	30598549	cg00445824_BC11	45
Multiple sclerosis	rs4149584	19525953	cg00556515_TC11	36
Tumor necrosis factor receptor 1 levels	rs4149584	33067605	cg00556515_TC11	36
Mean corpuscular hemoglobin	rs6545468	30595370	cg23539966_BC11	20
Low affinity immunoglobulin gamma Fc region receptor II-a levels	rs34472144	36168886	cg17508302_TC11	28
Systemic lupus erythematosus	rs10823829	33272962	cg10505163_TC11	19
Estimated glomerular filtration rate (creatinine)	rs76019323	35710981	cg16228087_BC11	6
Reaction time	rs73061369	29844566	cg23045255_BC11	22
Serum alkaline phosphatase levels	rs73195298	33462484	cg14702231_BC11	42
Intelligence (MTAG)	rs11555274	29326435	cg07788061_BC11	45
Cognitive performance (MTAG)	rs11555274	30038396	cg07788061_BC11	45
Mean platelet volume	rs2287922	27863252	cg12258179_TC11	39
Height	rs2287922	30595370	cg12258179_TC11	39
LDL cholesterol levels x long total sleep time interaction (2df test)	rs2287922	31719535	cg12258179_TC11	39
Waist-hip ratio	rs2287922	30595370	cg12258179_TC11	39
Mean platelet volume	rs2287922	32888494	cg12258179_TC11	39
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs2287922	30778226	cg12258179_TC11	39
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs2287922	30778226	cg12258179_TC11	39
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs2287922	30778226	cg12258179_TC11	39
Waist-to-hip ratio adjusted for BMI (additive genetic model)	rs2287922	30778226	cg12258179_TC11	39
Fasting insulin	rs2287922	39280063	cg12258179_TC11	39
Milk chocolate liking	rs2287922	35585065	cg12258179_TC11	39
F-lentils/beans liking (derived food-liking factor)	rs2287922	35585065	cg12258179_TC11	39
Beans liking	rs2287922	35585065	cg12258179_TC11	39
Height	rs35917214	31562340	cg00446003_TC11	27
Height	rs35917214	34594039	cg00446003_TC11	27
Brain amyloid deposition (PET imaging)	rs1469698	32568366	cg15804426_TC11	22
Neutrophil count	rs2033493	34469753	cg06899660_BC11	4
alpha-2-macroglobulin receptor-associated protein levels	rs1800493	34648354	cg26401028_BC11	25
Mean platelet volume	rs138887682	32888494	cg10973146_TC11	17
Morning person	rs17575798	30595370	cg14600484_TC11	39
Morning person	rs17575798	30696823	cg14600484_TC11	39
Chronotype	rs17575798	30696823	cg14600484_TC11	39
Type 2 diabetes	rs149336329	32541925	cg23433527_BC11	11
Type 2 diabetes	rs149336329	32499647	cg23433527_BC11	11
Type 2 diabetes	rs149336329	34594039	cg23433527_BC11	11
Type 2 diabetes	rs149336329	34594039	cg23433527_BC11	11
Hemoglobin A1c levels	rs149336329	34594039	cg23433527_BC11	11
Complement component 1 Q subcomponent-binding protein, mitochondrial levels	rs1042303	34648354	cg20631270_TC11	12
Complement component 1 Q subcomponent-binding protein, mitochondrial levels	rs1042303	36168886	cg20631270_TC11	12
Katanin p60 ATPase-containing subunit A-like 1 level in Chronic kidney disease with hypertension and no diabetes (24494_67)	rs1042303	35870639	cg20631270_TC11	12
RAC-beta serine/threonine-protein kinase levels	rs1772256	34648354	cg20631270_TC11	25
Medication use (glucocorticoids)	rs1881457	34594039	cg13566430_BC11	46
Self-reported math ability (MTAG)	rs13014796	30038396	cg21485895_BC11	34
Height	rs13014796	39134668	cg21485895_BC11	34
Height	rs13014796	34594039	cg21485895_BC11	34
Whole body fat free mass (UKB data field 23101)	rs13014796	38538606	cg21485895_BC11	34
C-X-C motif chemokine 1 levels	rs3117604	33067605	cg19170015_TC11	46
Growth-regulated alpha protein levels	rs3117604	36168886	cg19170015_TC11	46
CXCL1 protein levels	rs3117604	38565889	cg19170015_TC11	46
Growth-regulated protein alpha levels	rs74544699	27989323	cg19170015_TC11	33
Blood protein levels in cardiovascular risk	rs74544699	28369058	cg19170015_TC11	33
C-X-C motif chemokine 1 levels	rs74544699	36349687	cg19170015_TC11	33
Growth-regulated alpha protein levels	rs74544699	36168886	cg19170015_TC11	33
Serum levels of protein SNCA	rs2245801	35078996	cg18258770_TC11	26
Alpha-synuclein levels (SNCA.8458.111.3)	rs2245801	29875488	cg18258770_TC11	26
Insomnia	rs2619362	35835914	cg18258770_TC11	31
Insomnia	rs2619362	35835914	cg18258770_TC11	31
Rheumatoid arthritis	rs3806624	30423114	cg02694810_TC11	37
Rheumatoid arthritis	rs3806624	30423114	cg02694810_TC11	37
Rheumatoid arthritis	rs3806624	24390342	cg02694810_TC11	37
Rheumatoid arthritis	rs3806624	24390342	cg02694810_TC11	37
Hodgkin's lymphoma	rs3806624	24149102	cg02694810_TC11	37
Cancer (pleiotropy)	rs3806624	32887889	cg02694810_TC11	37
Malignant lymphoma (Non-Hodgkin lymphoma, multiple myeloma, or Hodgkin lymphoma)	rs3806624	36273105	cg02694810_TC11	37
Rheumatoid arthritis	rs3806624	33310728	cg02694810_TC11	37
High light scatter reticulocyte percentage of red cells	rs34370846	32888494	cg02337349_BC11	48
Reticulocyte fraction of red cells	rs34370846	32888494	cg02337349_BC11	48
Balding type 1	rs11803731	30595370	cg24645670_BC11	33
Hair shape	rs11803731	29220522	cg24645670_BC11	33
Hair morphology	rs11803731	19896111	cg24645670_BC11	33
Scalp hair shape	rs11803731	26926045	cg24645670_BC11	33
Hair curvature (observational)	rs11803731	33190678	cg24645670_BC11	33
Phospholipase D3 levels	rs10635760	34648354	cg03212797_TC11	10
Neutrophil forward scatter	rs55656828	37596262	cg03212797_TC11	9
Blood pressure	rs1421811	24954895	cg03651493_TC11	27
Hip circumference adjusted for BMI	rs1421811	34021172	cg03651493_TC11	27
Neutrophil count	rs10060182	32888494	cg03386905_TC11	28
Bioavailable testosterone levels	rs114303452	32042192	cg12337559_BC11	11
Blood pressure (pleiotropy model 1 DBP adjusted for estimated causal effects x SBP)	rs114303452	34989438	cg12337559_BC11	11
Blood pressure (pleiotropy model 2 SBP adjusted for estimated causal effects x DBP)	rs114303452	34989438	cg12337559_BC11	11
Insulin-like growth factor 1 levels	rs34680334	33462484	cg03180953_BC11	51
Medication use (diuretics)	rs881005	34594039	cg09282336_BC11	23
Medication use (agents acting on the renin-angiotensin system)	rs881005	34594039	cg09282336_BC11	23
Waist-hip index	rs12461581	34021172	cg09914513_BC11	38
Waist-to-hip ratio adjusted for BMI	rs12461581	34021172	cg09914513_BC11	38
Waist circumference adjusted for body mass index	rs12461581	34021172	cg09914513_BC11	38
Free androgen index	rs1672981	36653534	cg15467577_BC11	34
Sex hormone-binding globulin levels	rs1672981	34321204	cg15467577_BC11	34
Albumin levels	rs1672981	38448586	cg15467577_BC11	34
Mean corpuscular volume	rs148323035	28453575	cg26976732_TC11	10
Height	rs2074447	36224396	cg24340285_BC11	36
Height	rs185799410	30595370	cg18668503_TC11	44
Thyroid stimulating hormone levels	rs185799410	37872160	cg18668503_TC11	44
Triglyceride to HDL cholesterol ratio	rs185799410	38200128	cg18668503_TC11	44
Triglyceride to HDL cholesterol ratio	rs185799410	38200128	cg18668503_TC11	44
Diastolic blood pressure	rs185799410	38689001	cg18668503_TC11	44
Calcium levels	rs185799410	33887147	cg18668503_TC11	44
Hip circumference adjusted for BMI	rs185799410	34021172	cg18668503_TC11	44
Body size (confirmatory factor analysis Factor 21)	rs185799410	38965376	cg18668503_TC11	44
Height	rs185799410	39134668	cg18668503_TC11	44
Hip circumference adjusted for BMI	rs185799410	34021172	cg18668503_TC11	44
Systolic blood pressure	rs185799410	38689001	cg18668503_TC11	44
Coagulation factor Xa levels	rs3211717	34648354	cg09069900_TC11	15
Coagulation factor Xa levels	rs3211717	36168886	cg09069900_TC11	15
Coagulation Factor X levels	rs3211717	36168886	cg09069900_TC11	15
Prothrombin time	rs563964	35121771	cg09069900_TC11	17
ESAM/LAMA4 protein level ratio	rs143040759	38412862	cg27616109_BC11	49
Waist circumference adjusted for body mass index	rs889695	31669095	cg07361580_BC11	21
Multi-trait sex score	rs889695	37277458	cg07361580_BC11	21
Bone mineral density variability	rs118130529	37500982	cg20097507_TC11	0
Atopic asthma	rs117552144	31669095	cg26924967_TC11	6
Respiratory diseases	rs117552144	30595370	cg26924967_TC11	6
Asthma	rs117552144	32296059	cg26924967_TC11	6
Asthma	rs117552144	31959851	cg26924967_TC11	6
Asthma	rs117552144	34103634	cg26924967_TC11	6
Respiratory disease (confirmatory factor analysis Factor 11)	rs117552144	38965376	cg26924967_TC11	6
Protein quantitative trait loci (liver)	rs115760431	32778093	cg22942950_BC11	26
Vertex-wise sulcal depth	rs12946746	34910505	cg26588076_TC11	38
White blood cell count	rs12929950	32888493	cg07445515_TC11	37
Monocyte count	rs12929950	32888494	cg07445515_TC11	37
White blood cell count	rs12929950	32888493	cg07445515_TC11	37
Monocyte count	rs12929950	32888493	cg07445515_TC11	37
Facial morphology (factor 20)	rs201777958	28441456	cg15527348_TC11	35
Educational attainment	rs56322375	35361970	cg09628838_TC11	21
Smoking initiation	rs56322375	36477530	cg09628838_TC11	21
Smoking initiation	rs56322375	36477530	cg09628838_TC11	21
Waist-to-hip ratio adjusted for BMI	rs577721086	30239722	cg20173524_TC11	51
Waist-hip ratio	rs577721086	30239722	cg20173524_TC11	51
Metabolic syndrome	rs577721086	31589552	cg20173524_TC11	51
Waist-hip ratio	rs577721086	30595370	cg20173524_TC11	51
Waist-to-hip ratio adjusted for BMI	rs577721086	31669095	cg20173524_TC11	51
Waist-hip ratio	rs577721086	28552196	cg20173524_TC11	51
Bone mineral density (spine)	rs577721086	26733130	cg20173524_TC11	51
Total testosterone levels	rs577721086	32042192	cg20173524_TC11	51
Total testosterone levels	rs577721086	32042192	cg20173524_TC11	51
High density lipoprotein cholesterol levels	rs577721086	33339817	cg20173524_TC11	51
Medication use (HMG CoA reductase inhibitors)	rs577721086	31015401	cg20173524_TC11	51
Triglyceride levels (MTAG)	rs577721086	36376304	cg20173524_TC11	51
Body composition (MOSTest)	rs577721086	36402844	cg20173524_TC11	51
Testosterone levels	rs577721086	35192695	cg20173524_TC11	51
Testosterone levels	rs577721086	35192695	cg20173524_TC11	51
Free cholesterol to total lipids ratio in small VLDL	rs577721086	35213538	cg20173524_TC11	51
Phospholipids to total lipids ratio in small VLDL	rs577721086	35213538	cg20173524_TC11	51
Serum alkaline phosphatase levels	rs577721086	34594039	cg20173524_TC11	51
Serum albumin levels	rs577721086	34594039	cg20173524_TC11	51
Free cholesterol in small VLDL	rs577721086	38448586	cg20173524_TC11	51
Total lipids in small VLDL	rs577721086	38448586	cg20173524_TC11	51
Concentration of small VLDL particles	rs577721086	38448586	cg20173524_TC11	51
Phospholipids in small VLDL	rs577721086	38448586	cg20173524_TC11	51
Ratio of triglycerides to phosphoglycerides	rs577721086	38448586	cg20173524_TC11	51
Triglycerides in small VLDL	rs577721086	38448586	cg20173524_TC11	51
Total cholesterol levels in VLDL	rs577721086	38448586	cg20173524_TC11	51
R-spondin-3 levels	rs577721086	34648354	cg20173524_TC11	51
Waist-hip index	rs577721086	34021172	cg20173524_TC11	51
Waist-to-hip ratio adjusted for BMI	rs577721086	34021172	cg20173524_TC11	51
Waist circumference adjusted for body mass index	rs577721086	34021172	cg20173524_TC11	51
Triglyceride levels	rs577721086	34887591	cg20173524_TC11	51
Triglyceride levels	rs577721086	34887591	cg20173524_TC11	51
Total lipids in large HDL	rs577721086	38448586	cg20173524_TC11	51
Total cholesterol in HDL2	rs577721086	38448586	cg20173524_TC11	51
Mean diameter of HDL particles	rs577721086	38448586	cg20173524_TC11	51
Concentration of large HDL particles	rs577721086	38448586	cg20173524_TC11	51
Phospholipids in large HDL	rs577721086	38448586	cg20173524_TC11	51
Free cholesterol to total lipids ratio in large LDL	rs577721086	38448586	cg20173524_TC11	51
Total cholesterol in large HDL	rs577721086	38448586	cg20173524_TC11	51
Total cholesterol levels in HDL	rs577721086	38448586	cg20173524_TC11	51
Cholesterol esters in large HDL	rs577721086	38448586	cg20173524_TC11	51
Free cholesterol in large HDL	rs577721086	38448586	cg20173524_TC11	51
Concentration of very large HDL particles	rs577721086	38448586	cg20173524_TC11	51
Total lipids in very large HDL	rs577721086	38448586	cg20173524_TC11	51
Concentration of medium VLDL particles	rs577721086	38448586	cg20173524_TC11	51
Free cholesterol in medium VLDL	rs577721086	38448586	cg20173524_TC11	51
Total lipids in medium VLDL	rs577721086	38448586	cg20173524_TC11	51
Total cholesterol in medium VLDL	rs577721086	38448586	cg20173524_TC11	51
Serum total triglyceride levels	rs577721086	38448586	cg20173524_TC11	51
Triglyceride levels in VLDL	rs577721086	38448586	cg20173524_TC11	51
Triglycerides in medium VLDL	rs577721086	38448586	cg20173524_TC11	51
Phospholipids in medium VLDL	rs577721086	38448586	cg20173524_TC11	51
Total cholesterol in small VLDL	rs577721086	38448586	cg20173524_TC11	51
Ratio of apolipoprotein B to apolipoprotein A1 levels	rs577721086	38448586	cg20173524_TC11	51
Phospholipids in very large HDL	rs577721086	38448586	cg20173524_TC11	51
Triglycerides in very small VLDL	rs577721086	38448586	cg20173524_TC11	51
Hip circumference adjusted for BMI	rs577721086	34021172	cg20173524_TC11	51
Triglycerides in small HDL	rs577721086	38448586	cg20173524_TC11	51
Medication use (HMG CoA reductase inhibitors)	rs577721086	34594039	cg20173524_TC11	51
Visceral adipose tissue volumes (adjusted for BMI and height)	rs577721086	35773277	cg20173524_TC11	51
Visceral adipose tissue volumes (adjusted for BMI and height)	rs577721086	35773277	cg20173524_TC11	51
Visceral adipose tissue volumes to abdominal adipose tissue volumes ratio	rs577721086	35773277	cg20173524_TC11	51
Visceral adipose tissue volumes to gluteofemoral adipose tissue volumes ratio	rs577721086	35773277	cg20173524_TC11	51
Visceral adipose tissue volumes to abdominal adipose tissue volumes ratio	rs577721086	35773277	cg20173524_TC11	51
Visceral adipose tissue volumes to gluteofemoral adipose tissue volumes ratio	rs577721086	35773277	cg20173524_TC11	51
Fracture of forearm	rs577721086	37919453	cg20173524_TC11	51
Hearing aid use	rs184982936	34847940	cg22386965_BC11	36
C-reactive protein levels	rs12927172	35459240	cg18870456_TC11	49
C-reactive protein levels (MTAG)	rs12927172	36376304	cg18870456_TC11	49
Prostate cancer	rs11752345	32887889	cg25631955_BC11	9
Educational attainment	rs11752345	35361970	cg25631955_BC11	9
Cigarettes smoked per day	rs1888187	36477530	cg14658039_TC11	10
Height	rs143532828	31562340	cg26687441_TC11	0
Height	rs143532828	34594039	cg26687441_TC11	0
Abdominal fat cell number	rs111439060	35320353	cg23750265_TC11	21
Blood pressure (pleiotropy model 1 DBP adjusted for estimated causal effects x SBP)	rs59637384	34989438	cg22071944_TC11	15
Blood pressure (pleiotropy model 2 SBP adjusted for estimated causal effects x DBP)	rs59637384	34989438	cg22071944_TC11	15
Platelet count	rs296889	32888493	cg22068499_TC11	37
QT interval	rs3757458	23166209	cg11477716_BC11	12
Neuroticism conditioned on highest math class (multi-trait conditioning and joint analysis)	rs7292055	33349686	cg14579119_TC11	22
Neuroticism conditioned on Townsend deprivation index (multi-trait conditioning and joint analysis)	rs7292055	33349686	cg14579119_TC11	22
Mean corpuscular volume	rs377687720	34594039	cg27311319_TC11	22
Asthma	rs771018	31361310	cg03614394_BC11	29
Body fat percentage (adjusted for testosterone and SHBG)	rs2920502	37867527	cg06340600_TC11	7
Telomere length (principal component 1)	rs187780677	39192095	cg27129538_BC11	0
Triglyceride levels	rs1541924	34887591	cg04242446_BC11	46
Chickenpox	rs6594535	28928442	cg18983456_BC11	50
Smoking status	rs73123076	30595370	cg02625102_BC11	12
Non-melanoma skin cancer	rs479777	29739929	cg16451428_BC11	1
Sarcoidosis	rs479777	22837380	cg16451428_BC11	1
Medication use (thyroid preparations)	rs479777	31015401	cg16451428_BC11	1
Skin cancer	rs479777	34594039	cg16451428_BC11	1
Rheumatoid arthritis	rs479777	35470158	cg16451428_BC11	1
Rheumatoid arthritis	rs479777	36333501	cg16451428_BC11	1
Rheumatoid arthritis	rs479777	36333501	cg16451428_BC11	1
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rs479777	36333501	cg16451428_BC11	1
Medication use (thyroid preparations)	rs479777	34594039	cg16451428_BC11	1
Basal cell carcinoma (MTAG)	rs479777	36496446	cg16451428_BC11	1
X-24544 levels	rs111517721	35347128	cg06042994_TC11	30
Brain region volumes	rs9379829	31676860	cg01272707_TC11	34
Metabolic syndrome	rs9379829	39349817	cg01272707_TC11	34
Total cholesterol levels	rs12701824	33462484	cg02733842_TC11	11
Gamma glutamyl transferase levels	rs12701824	33462484	cg02733842_TC11	11
Low density lipoprotein cholesterol levels	rs12701824	33462484	cg02733842_TC11	11
Apolipoprotein A1 levels	rs12701824	33462484	cg02733842_TC11	11
Total cholesterol levels	rs12701824	33462484	cg02733842_TC12	11
Gamma glutamyl transferase levels	rs12701824	33462484	cg02733842_TC12	11
Low density lipoprotein cholesterol levels	rs12701824	33462484	cg02733842_TC12	11
Apolipoprotein A1 levels	rs12701824	33462484	cg02733842_TC12	11
Diastolic blood pressure	rs41300100	39134668	cg05396397_TC11	18
Systolic blood pressure	rs41300100	39134668	cg05396397_TC11	18
MGMT methylation in smokers	rs16906252	26183928	cg15778880_TC11	51
Urate levels	rs747987531	34226706	cg22348001_TC11	31
Early chronic obstructive pulmonary disease in never smokers	rs4947324	33235445	cg09365802_BC11	5
Rheumatoid arthritis or type 1 diabetes	rs4947324	37377963	cg09365802_BC11	5
Serum levels of protein ALDOC	rs141921160	35078996	cg15692239_BC11	27
Prostate cancer	rs77911174	31562322	cg22620363_BC11	39
Body mass index (MTAG)	rs10838709	36376304	cg20307385_TC11	17
Red blood cell count	rs62127532	32888493	cg20389709_TC11	16
Red blood cell count	rs62127532	32888493	cg20389709_TC11	16
Serum amyloid A-4 protein levels	rs28384491	34648354	cg04572161_TC11	14
Waist-to-hip ratio adjusted for BMI	rs186369938	31669095	cg08826863_BC11	23
Plateletcrit	rs186369938	32888494	cg08826863_BC11	23
Platelet count	rs186369938	32888494	cg08826863_BC11	23
Red blood cell count	rs594153	29403010	cg24027342_BC11	37
X-12411 levels	rs184530887	36635386	cg24115922_BC11	5
HDL cholesterol levels	rs3732356	32203549	cg24129382_TC11	45
Apolipoprotein A1 levels	rs3732356	32203549	cg24129382_TC11	45
Low-density lipoprotein levels (MTAG)	rs3732356	36376304	cg24129382_TC11	45
Total cholesterol levels	rs3732356	30275531	cg24129382_TC11	45
C-reactive protein levels	rs3732356	35459240	cg24129382_TC11	45
High density lipoprotein cholesterol levels	rs3732356	33462484	cg24129382_TC11	45
Total cholesterol levels	rs3732356	34887591	cg24129382_TC11	45
High density lipoprotein cholesterol levels	rs3732356	34887591	cg24129382_TC11	45
High density lipoprotein cholesterol levels	rs3732356	34887591	cg24129382_TC11	45
HDL cholesterol	rs3732356	34594039	cg24129382_TC11	45
Gamma glutamyl transpeptidase	rs3732356	34594039	cg24129382_TC11	45
Total cholesterol levels (MTAG)	rs3732356	37669986	cg24129382_TC11	45
Triglyceride levels (MTAG)	rs3732356	37669986	cg24129382_TC11	45
High-density lipoprotein levels (MTAG)	rs3732356	37669986	cg24129382_TC11	45
Catalase levels	rs1001179	34648354	cg22159421_TC11	49
Type 2 diabetes	rs1001179	35893037	cg22159421_TC11	49
COVID-19 (hospitalized covid vs population)	rs1001179	39361370	cg22159421_TC11	49
White blood cell count	rs3806792	36329257	cg18804985_TC11	48
Cervical cancer	rs2844512	34594039	cg18892128_TC11	9
Prostate cancer	rs3751723	37945903	cg17745122_BC11	33
Prostate cancer	rs3751723	37945903	cg17745122_BC11	33
Height	rs143840904	31562340	cg17820828_TC11	24
Height	rs143840904	30595370	cg17820828_TC11	24
Waist circumference adjusted for body mass index	rs143840904	31669095	cg17820828_TC11	24
Appendicular lean mass	rs143840904	33097823	cg17820828_TC11	24
Waist circumference adjusted for body mass index	rs143840904	34021172	cg17820828_TC11	24
Hip circumference adjusted for BMI	rs143840904	34021172	cg17820828_TC11	24
Hip circumference adjusted for BMI	rs143840904	34021172	cg17820828_TC11	24
Body size (confirmatory factor analysis Factor 21)	rs143840904	38965376	cg17820828_TC11	24
Height	rs143840904	34594039	cg17820828_TC11	24
Height	rs143840904	39134668	cg17820828_TC11	24
Waist circumference adjusted for body mass index	rs143840904	34021172	cg17820828_TC11	24
Multi-trait sex score	rs143840904	37277458	cg17820828_TC11	24
Height	rs61869763	31562340	cg17820828_TC11	47
Waist circumference adjusted for body mass index	rs61869763	31669095	cg17820828_TC11	47
Height	rs61869763	38116116	cg17820828_TC11	47
Waist circumference adjusted for body mass index	rs61869763	34021172	cg17820828_TC11	47
Hematocrit	rs56235845	27863252	cg17509989_TC11	9
Hemoglobin concentration	rs56235845	27863252	cg17509989_TC11	9
Kidney stones	rs56235845	31729369	cg17509989_TC11	9
Hemoglobin levels	rs56235845	32327693	cg17509989_TC11	9
Kidney stone disease	rs56235845	37787550	cg17509989_TC11	9
Kidney stone disease	rs56235845	37787550	cg17509989_TC11	9
Restless legs syndrome	rs150442946	38839884	cg17629929_BC11	30
White blood cell count	rs12761149	30595370	cg17639894_BC11	6
Height	rs3746317	36224396	cg22517351_TC11	21
Cholesterol to total lipids ratio in large HDL	rs13137144	35213538	cg13704403_BC11	15
Phospholipids to total lipids ratio in large VLDL	rs13137144	35213538	cg13704403_BC11	15
Triglycerides to total lipids ratio in large HDL	rs13137144	35213538	cg13704403_BC11	15
Triglycerides to total lipids ratio in very large HDL	rs13137144	35213538	cg13704403_BC11	15
Hemoglobin levels	rs351988	32327693	cg26775538_BC11	4
High light scatter reticulocyte count	rs351988	32888494	cg26775538_BC11	4
Reticulocyte fraction of red cells	rs351988	32888494	cg26775538_BC11	4
Reticulocyte count	rs351988	32888494	cg26775538_BC11	4
Sunburns	rs4782318	30595370	cg26922780_BC11	43
Post-traumatic stress disorder (re-experiencing symptoms)	rs10459463	31358989	cg19571540_TC11	34
Colorectal cancer	rs113569514	34594039	cg19591206_TC11	20
Colorectal cancer	rs113569514	30529582	cg19591206_TC11	20
Colorectal cancer	rs113569514	36539618	cg19591206_TC11	20
CDSN/KLK8 protein level ratio	rs3745535	38412862	cg13343486_TC11	46
Inferior parietal area (unadjusted for global measures)	rs9267551	36893272	cg02257681_BC11	45
High-density lipoprotein levels (MTAG)	rs7195310	36376304	cg06213463_TC11	24
Retinal vascular fractal dimension	rs1711954	34743558	cg06312846_TC11	42
Alanine aminotransferase levels	rs4784046	38632349	cg21335942_TC11	13
ADP-ribosylation factor-like protein 11 levels	rs811912	34648354	cg23933602_TC11	26
Esophageal adenocarcinoma x gastroesophageal reflux disease interaction	rs7141987	29551738	cg23935255_BC11	40
Height (standard GWA)	rs56268334	37106081	cg14969094_BC11	21
Height	rs56268334	38116116	cg14969094_BC11	21
Body size at age 10	rs117455294	32376654	cg00943909_TC11	9
Childhood body mass index	rs117455294	37280435	cg00943909_TC11	9
Total testosterone levels	rs138983180	32042192	cg01044465_BC11	17
Total testosterone levels	rs138983180	32042192	cg01044465_BC11	17
Protein CREG1 levels	rs75511610	34648354	cg10935064_TC11	35
Phosphatidylcholine(40:6)_[M+H]1+/Phosphatidylethanolamine(43:6)_[M+H]1+ levels	rs9468308	34503513	cg13562911_TC11	38
DLL1/IL18BP protein level ratio	rs2837989	38412862	cg21268422_TC11	28
DLL1/NECTIN4 protein level ratio	rs2837989	38412862	cg21268422_TC11	28
Hemoglobin levels	rs1150752	32327693	cg27081346_TC11	34
Hemoglobin concentration	rs1150752	35964923	cg27081346_TC11	34
Hemoglobin concentration	rs1150752	35964923	cg27081346_TC11	34
Life satisfaction	rs1150752	30643256	cg27081346_TC11	34
Inguinal hernia	rs1150752	34382107	cg27081346_TC11	34
High Gleason score in radical prostatectomy	rs200944490	34680357	cg05595345_BC11	9
Mean corpuscular hemoglobin	rs17194474	32888494	cg05664039_BC11	44
CERT/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
CETN2/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
BAX/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
PMVK/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
PRTFDC1/STK24 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
PRTFDC1/TARBP2 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
ATXN10/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
FHIT/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
AKT1S1/PRTFDC1 protein level ratio	rs143356584	38412862	cg04180868_BC11	40
