DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
Platelet count	rs56017561	32888493	cg01362391_TC11	2
HDL cholesterol levels	rs138197681	35884923	cg21883754_BC11	41
Monocyte percentage of white cells	rs9461780	32888494	cg09379487_BO11	9
Autism spectrum disorder or schizophrenia	rs9273177	28540026	cg09379572_BO11	12
Itch intensity from mosquito bite	rs9276434	28199695	cg09380323_BO11	36
Seropositivity for gallus gallus ovomucoid precursor gallus peptide (twist_30726)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity (peptide co-occurrence module 13: ABC transporters , ATP-binding proteins)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity for human huntingtin peptide (twist_34234)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity for streptococcus phage peptide (twist_76831)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity for clostridiales peptide (agilent_68956)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity for mycobacterium tuberculosis peptide (agilent_2469)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity for mycobacterium tuberculosis peptide (twist_52112)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity for aix galericulata (mandarin duck) peptide (twist_23200)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity for staphylococcus aureus peptide (agilent_222322)	rs9276434	37164013	cg09380323_BO11	36
Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (agilent_3328)	rs6457715	37164013	cg09383248_BO11	14
Autism spectrum disorder or schizophrenia	rs9273177	28540026	cg09379572_TC11	12
Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (agilent_3328)	rs6457715	37164013	cg09383247_TC11	6
Cognitive performance	rs2072895	30038396	cg02035039_BC11	31
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1611208	38368726	cg09345192_BC11	32
Cutaneous mastocytosis	rs1611207	32752121	cg09345192_BC11	41
Mastocytosis	rs1611207	32752121	cg09345192_BC11	41
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1611207	38368726	cg09345192_BC11	41
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1629068	38368726	cg03570577_BC11	33
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1736984	38368726	cg09345299_BC11	2
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17185146	38368726	cg09345299_BC11	12
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1632996	38368726	cg09345331_BC11	17
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1610711	38368726	cg09345331_BC11	27
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1736982	38368726	cg09345331_BC11	3
Dry eye disease	rs2734945	38767906	cg09346125_BC11	8
Restless legs syndrome	rs1059453	38839884	cg09346125_BC11	52
Restless legs syndrome	rs1059453	38839884	cg09346125_BC11	52
Restless legs syndrome	rs1059453	38839884	cg09346125_BC11	52
Mouth ulcers	rs41546314	30837455	cg09346727_BC11	39
HDL cholesterol levels	rs138197681	35884923	cg21883754_BC12	41
C-peptide levels in type I diabetes	rs9260151	29404672	cg09346781_BC11	0
Systemic lupus erythematosus	rs116352702	33272962	cg09379452_BC11	46
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17205177	38368726	cg09379518_BC11	50
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17205191	38368726	cg09379518_BC11	12
Hematocrit	rs9273039	27863252	cg09379568_BC11	52
Autism spectrum disorder or schizophrenia	rs9273177	28540026	cg09379572_BC11	12
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1736984	38368726	cg09345299_TO11	2
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17185146	38368726	cg09345299_TO11	12
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs1655920	38368726	cg09346702_TO11	11
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17206680	38368726	cg09364124_TC11	24
Pneumonia	rs9256983	28928442	cg09346799_TC11	3
Lymphocyte count	rs9260155	32888494	cg09346800_TC11	39
Neuronal pentraxin-1 levels	rs28749156	34648354	cg09346816_TC11	21
Eosinophil side scatter distribution width	rs28749156	37596262	cg09346816_TC11	21
Lymphocyte percentage of white cells	rs73725598	27863252	cg09346909_TC11	27
Luteinizing hormone levels in healthy women	rs185780876	32185793	cg21622025_TC11	32
Ulcerative colitis	rs2239802	28008999	cg09377579_TC11	0
Seropositivity for listeria phage 2389 peptide (twist_76871)	rs13211632	37164013	cg09379504_TC11	7
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17205177	38368726	cg09379518_TC11	50
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17205191	38368726	cg09379518_TC11	12
Hypothyroidism or rheumatoid arthritis (pleiotropy)	rs17211545	38368726	cg09379519_TC11	9
Hematocrit	rs9273039	27863252	cg09379567_TC11	16
Platelet count	rs532784633	34553764	cg11839415_TC11	31
C-C motif chemokine 14 levels	rs3027012	36168886	cg07202479_TC11	39
Inferior parietal area (unadjusted for global measures)	rs9267551	36893272	cg12442899_BC11	50
Post-traumatic stress disorder (re-experiencing symptoms)	rs10459463	31358989	cg19571540_BC11	34
Crohn's disease	rs2066844	28067908	cg01068906_TC11	18
Inflammatory bowel disease	rs2066844	28067908	cg01068906_TC11	18
Colorectal adenoma (advanced)	rs2066844	29228715	cg01068906_TC11	18
Asthma (childhood onset)	rs2066844	31669095	cg01068906_TC11	18
Asthma	rs2066844	32296059	cg01068906_TC11	18
Asthma	rs2066844	32296059	cg01068906_TC11	18
Asthma (childhood onset)	rs2066844	31036433	cg01068906_TC11	18
Mouth ulcers	rs2066844	30837455	cg01068906_TC11	18
Asthma (childhood onset)	rs2066844	30929738	cg01068906_TC11	18
Asthma	rs2066844	30929738	cg01068906_TC11	18
